,Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
11407,201309.0,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Enplaned,Other,International,A,4514.0
11408,201309.0,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Deplaned,Low Fare,International,A,43798.0
11409,201309.0,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Enplaned,Low Fare,International,A,44466.0
11410,201309.0,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Deplaned,Other,International,A,11669.0
11411,201309.0,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Enplaned,Other,International,A,11692.0
11412,201309.0,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Deplaned,Other,International,A,6794.0
11413,201309.0,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Enplaned,Other,International,A,5757.0
11414,201309.0,LAN Peru,LP,LAN Peru,LP,International,South America,Deplaned,Other,International,A,2619.0
11415,201309.0,LAN Peru,LP,LAN Peru,LP,International,South America,Enplaned,Other,International,A,2717.0
11416,201309.0,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Deplaned,Other,International,G,23362.0
11417,201309.0,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Enplaned,Other,International,G,23227.0
11418,201309.0,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Deplaned,Other,International,A,8322.0
11419,201309.0,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Enplaned,Other,International,A,7106.0
11420,201309.0,Republic Airlines,RW,Republic Airlines,RW,Domestic,US,Enplaned,Other,Terminal 1,B,27.0
11421,201309.0,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Deplaned,Other,International,G,6356.0
11422,201309.0,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Enplaned,Other,International,G,6039.0
11423,201309.0,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Deplaned,Other,International,G,14740.0
11424,201309.0,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Enplaned,Other,International,G,13844.0
11425,201309.0,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 1,B,86214.0
11426,201309.0,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 1,B,84290.0
11427,201309.0,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,1218.0
11428,201309.0,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,1446.0
11429,201309.0,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,50363.0
11430,201309.0,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,50388.0
11431,201309.0,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,International,G,2634.0
11432,201309.0,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 1,B,292.0
11433,201309.0,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 1,B,2700.0
11434,201309.0,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,7586.0
11435,201309.0,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,7555.0
11436,201309.0,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Deplaned,Low Fare,Terminal 1,B,128474.0
11437,201309.0,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Enplaned,Low Fare,Terminal 1,B,125747.0
11438,201309.0,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,236.0
11439,201309.0,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Deplaned,Low Fare,International,A,5387.0
11440,201309.0,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Enplaned,Low Fare,International,A,5578.0
11441,201309.0,Swiss International,LX,Swiss International,LX,International,Europe,Deplaned,Other,International,G,6416.0
11442,201309.0,Swiss International,LX,Swiss International,LX,International,Europe,Enplaned,Other,International,G,6299.0
11443,201309.0,TACA,TA,TACA,TA,International,Central America,Deplaned,Other,International,A,4744.0
11444,201309.0,TACA,TA,TACA,TA,International,Central America,Enplaned,Other,International,A,4319.0
11445,201309.0,US Airways,US ,US Airways,US ,Domestic,US,Deplaned,Other,Terminal 1,B,63532.0
11446,201309.0,US Airways,US ,US Airways,US ,Domestic,US,Enplaned,Other,Terminal 1,B,64784.0
11447,201309.0,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,International,G,30032.0
11448,201309.0,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,International,G,37344.0
11449,201309.0,United Airlines,UA,United Airlines,UA,Domestic,US,Deplaned,Other,Terminal 3,F,548374.0
11450,201309.0,United Airlines,UA,United Airlines,UA,Domestic,US,Enplaned,Other,Terminal 3,F,544302.0
11451,201309.0,United Airlines,UA,United Airlines,UA,Domestic,US,Thru / Transit,Other,Terminal 3,F,4072.0
